"","Koa root","Olapa root","Grass root","Ohia root","Kolea root","Akala root","Soil"
"ASV100",0,0,1,0,1,0,1
"ASV1000",0,0,0,0,1,0,0
"ASV1001",0,0,0,0,0,1,0
"ASV1002",0,0,1,0,0,0,0
"ASV1006",0,1,0,0,0,0,0
"ASV1007",1,1,1,1,1,1,1
"ASV1008",0,0,0,0,1,0,0
"ASV1009",0,1,0,0,0,0,0
"ASV101",0,0,0,0,0,0,1
"ASV1010",0,0,0,0,1,0,0
"ASV1011",0,0,0,0,1,0,0
"ASV1012",0,0,0,0,1,0,0
"ASV1015",1,1,1,1,0,1,1
"ASV1016",0,1,0,0,0,1,0
"ASV1019",0,0,1,0,0,0,0
"ASV102",0,0,0,0,0,0,1
"ASV1020",0,0,0,0,1,0,0
"ASV1021",0,0,0,0,1,0,0
"ASV1022",0,0,0,0,1,0,0
"ASV1024",0,0,0,0,1,0,0
"ASV1026",1,0,0,0,0,0,0
"ASV1031",0,1,0,1,1,0,1
"ASV1035",0,0,0,0,1,0,0
"ASV1037",1,0,0,0,0,0,0
"ASV1038",1,1,1,1,1,1,1
"ASV104",0,0,0,0,0,0,1
"ASV1040",0,0,0,0,0,0,1
"ASV1042",0,0,0,0,0,0,1
"ASV1045",0,0,0,0,0,0,1
"ASV1046",0,0,0,0,0,0,1
"ASV1047",1,0,1,1,0,1,1
"ASV1048",0,0,0,0,0,0,1
"ASV1049",0,1,0,0,0,0,0
"ASV105",0,0,0,0,0,0,1
"ASV1052",1,1,0,1,0,1,1
"ASV1054",0,0,1,0,0,0,0
"ASV1055",0,0,0,0,0,0,1
"ASV1056",1,1,0,0,0,0,1
"ASV1057",1,0,1,0,0,0,1
"ASV1058",0,0,0,0,1,0,0
"ASV106",0,0,0,0,0,0,1
"ASV1067",0,1,0,0,0,0,0
"ASV1068",0,0,0,0,0,0,1
"ASV1069",0,0,0,1,0,0,0
"ASV1071",0,0,0,0,1,0,0
"ASV1072",0,0,0,0,1,0,0
"ASV1073",0,0,0,0,0,0,1
"ASV1077",0,0,0,0,0,1,0
"ASV108",0,0,0,0,0,0,1
"ASV1086",0,1,0,0,0,0,0
"ASV1088",0,0,0,0,0,0,1
"ASV1089",0,1,0,0,0,0,0
"ASV1090",0,1,0,0,0,0,0
"ASV1093",0,1,0,0,0,0,0
"ASV1094",0,1,0,0,0,0,0
"ASV1097",0,0,0,0,0,0,1
"ASV1098",0,1,0,0,1,0,1
"ASV1099",0,0,0,0,0,0,1
"ASV1100",0,1,0,0,0,0,1
"ASV1102",1,1,0,0,0,0,1
"ASV1103",1,0,0,0,0,1,1
"ASV1104",0,0,0,0,0,0,1
"ASV1109",0,0,0,1,0,0,0
"ASV111",0,0,1,0,0,0,0
"ASV1110",0,0,1,0,0,0,1
"ASV1111",0,0,0,0,0,1,1
"ASV1112",0,0,1,0,0,0,0
"ASV1113",0,0,0,0,0,0,1
"ASV1114",0,0,0,1,0,0,0
"ASV1115",0,0,0,0,1,0,0
"ASV1116",0,0,0,0,0,0,1
"ASV1117",0,0,0,0,1,0,0
"ASV1118",1,0,1,1,0,1,1
"ASV1119",0,0,0,0,0,0,1
"ASV112",1,0,0,0,1,0,1
"ASV1120",0,0,0,0,0,0,1
"ASV1121",1,1,1,0,0,0,1
"ASV1122",0,1,0,0,0,0,0
"ASV1123",0,0,0,0,0,1,0
"ASV1124",0,1,0,0,0,0,0
"ASV1126",0,0,0,0,0,0,1
"ASV1127",0,1,1,0,0,1,0
"ASV1128",0,1,0,0,0,0,1
"ASV113",0,0,0,0,0,0,1
"ASV1130",0,0,0,0,0,0,1
"ASV1131",1,1,0,0,0,0,1
"ASV1132",0,0,1,0,0,0,0
"ASV1133",0,0,1,0,0,0,0
"ASV1134",0,0,0,0,0,0,1
"ASV1135",1,1,1,1,1,1,1
"ASV1137",0,0,0,0,0,1,0
"ASV1139",0,0,0,0,0,0,1
"ASV1145",0,0,0,0,1,0,0
"ASV1148",0,0,0,0,1,0,0
"ASV1151",0,0,0,0,0,1,0
"ASV1153",0,0,0,0,0,0,1
"ASV1155",1,1,1,1,1,1,1
"ASV1156",0,1,0,1,1,1,1
"ASV1157",1,1,1,1,0,1,1
"ASV1159",1,0,0,0,0,0,0
"ASV1160",0,0,0,0,0,0,1
"ASV1161",0,0,0,0,0,1,0
"ASV1162",0,0,0,0,0,1,0
"ASV1163",0,1,0,0,0,1,1
"ASV1165",0,1,0,1,0,1,1
"ASV1166",0,0,0,0,0,0,1
"ASV1167",0,0,0,0,0,0,1
"ASV1168",0,0,0,0,0,0,1
"ASV1169",0,1,0,0,0,0,0
"ASV1170",0,1,0,1,0,1,1
"ASV1171",1,0,0,0,0,0,0
"ASV1172",0,1,1,1,1,0,0
"ASV1174",0,0,0,0,1,0,0
"ASV1175",1,1,1,1,1,1,1
"ASV1176",1,1,1,1,1,1,1
"ASV1178",0,1,0,0,0,0,0
"ASV1179",0,0,0,0,1,0,0
"ASV118",0,0,0,0,0,0,1
"ASV1180",0,0,0,0,1,0,0
"ASV1181",1,0,1,0,0,0,0
"ASV1182",1,1,1,1,1,1,0
"ASV1183",1,0,1,1,0,1,1
"ASV1184",1,0,1,1,0,1,1
"ASV1188",0,0,0,0,1,0,0
"ASV1189",1,1,1,1,1,1,1
"ASV1191",0,0,1,0,0,0,0
"ASV1194",0,0,0,0,0,0,1
"ASV1195",1,1,1,1,1,1,1
"ASV1196",0,0,0,0,1,0,0
"ASV1197",1,0,1,1,1,1,1
"ASV1199",1,1,1,1,1,0,1
"ASV1200",0,0,0,0,1,0,0
"ASV1203",1,1,1,0,1,0,0
"ASV1204",1,0,1,0,0,0,1
"ASV1205",0,0,1,0,0,0,0
"ASV1207",1,1,0,0,1,0,1
"ASV1208",1,0,1,0,0,0,1
"ASV1209",1,0,1,0,0,0,0
"ASV1210",0,0,0,0,0,0,1
"ASV1212",1,1,1,1,1,1,0
"ASV1213",1,0,0,0,0,0,0
"ASV1214",0,0,0,0,0,1,0
"ASV1215",1,0,0,0,0,0,1
"ASV1216",0,0,1,0,0,0,0
"ASV1217",1,1,0,0,0,0,1
"ASV1219",0,1,0,0,0,0,0
"ASV1220",0,0,0,0,0,0,1
"ASV1221",0,0,0,0,0,0,1
"ASV1222",0,0,0,0,0,0,1
"ASV1223",1,0,0,0,0,0,1
"ASV1224",0,0,0,0,0,0,1
"ASV1227",0,0,0,0,0,1,0
"ASV1228",1,1,1,1,1,0,1
"ASV1229",1,0,0,0,0,0,0
"ASV123",0,0,0,0,0,0,1
"ASV1230",0,0,0,0,0,0,1
"ASV1231",1,1,1,1,0,1,1
"ASV1233",1,1,1,1,1,1,1
"ASV1234",0,0,0,0,0,0,1
"ASV1235",0,0,0,0,0,0,1
"ASV1236",0,0,0,0,0,0,1
"ASV1237",0,1,0,0,0,0,0
"ASV124",0,0,0,0,0,0,1
"ASV1240",1,1,1,1,1,1,1
"ASV1241",0,1,1,0,1,1,1
"ASV1242",1,1,1,1,1,1,0
"ASV1243",1,0,1,1,0,0,1
"ASV1244",0,0,0,0,1,0,0
"ASV1247",0,0,1,0,0,0,0
