"","Koa root","Olapa root","Grass root","Ohia root","Kolea root","Akala root","Soil"
"ASV10",0,0,4,0,0,0,0
"ASV100",0,0,0,3,4,0,59
"ASV1004",0,0,0,0,7,0,0
"ASV1005",0,0,0,1,0,0,0
"ASV1007",522,74,124,151,426,259,3941
"ASV1013",0,0,0,0,20,0,0
"ASV1014",0,0,0,0,15,0,0
"ASV1015",177,0,18,0,26,147,799
"ASV102",0,0,0,0,0,0,17
"ASV1023",0,2,0,0,0,0,0
"ASV1027",0,6,0,0,0,0,0
"ASV1028",0,0,0,0,33,0,0
"ASV1029",0,0,0,7,0,0,0
"ASV103",0,0,0,0,0,0,4
"ASV1030",0,0,6,0,0,0,0
"ASV1031",0,0,0,31,0,0,13
"ASV1036",0,0,0,0,0,4,0
"ASV1038",36,39,23,22,206,2,93
"ASV1039",0,0,0,0,0,0,7
"ASV1040",0,0,0,0,0,32,174
"ASV1041",0,0,0,0,0,0,291
"ASV1044",0,0,0,0,0,0,41
"ASV1045",3,0,0,0,0,0,0
"ASV1047",13,0,0,0,0,0,64
"ASV1052",0,0,0,0,0,0,41
"ASV1053",0,0,0,0,0,0,17
"ASV1056",0,0,0,0,7,0,44
"ASV1057",0,0,0,0,0,0,22
"ASV106",0,0,0,0,0,0,3
"ASV1066",0,0,0,0,1,0,0
"ASV1074",0,0,0,0,0,8,0
"ASV1083",0,0,3,0,0,0,0
"ASV1087",0,0,0,0,6,0,0
"ASV1096",0,0,0,0,0,0,3
"ASV1097",0,0,0,0,0,0,198
"ASV1098",21,0,21,0,0,0,430
"ASV110",2,0,0,0,0,0,0
"ASV1101",0,0,0,0,0,0,31
"ASV1102",0,0,0,0,0,0,52
"ASV1103",0,0,14,9,0,0,125
"ASV1104",0,0,15,0,0,0,121
"ASV1106",0,0,0,56,0,0,0
"ASV1108",0,0,11,0,0,0,0
"ASV1109",0,0,2,0,0,0,0
"ASV1118",0,0,0,0,0,0,128
"ASV112",12,21,2,0,0,6,58
"ASV1120",0,0,0,0,0,0,49
"ASV1121",13,0,37,0,19,0,873
"ASV1124",0,0,0,0,0,13,0
"ASV1129",0,0,0,0,0,14,32
"ASV113",2,0,0,0,0,0,0
"ASV1131",0,0,0,0,0,69,0
"ASV1134",22,0,0,0,0,0,0
"ASV1135",1137,732,1728,1803,1656,1176,12880
"ASV1136",0,0,0,0,48,0,0
"ASV1138",0,0,0,0,47,0,0
"ASV1141",0,0,0,0,4,0,0
"ASV1142",0,0,0,0,0,0,3
"ASV1143",0,0,0,5,0,0,0
"ASV1155",174,20,279,226,116,162,999
"ASV1156",0,0,21,58,0,126,0
"ASV1157",71,0,213,145,0,0,84
"ASV1158",0,0,0,0,0,0,13
"ASV116",0,0,0,1,0,0,0
"ASV1163",10,0,0,0,0,0,0
"ASV1165",11,0,0,0,0,0,0
"ASV1167",0,0,0,0,0,0,62
"ASV1169",0,0,0,21,0,0,0
"ASV117",0,0,0,0,0,0,1
"ASV1170",31,0,28,0,0,0,120
"ASV1172",26,0,0,0,0,13,0
"ASV1175",22,14,0,0,168,65,371
"ASV1176",80,209,105,84,967,129,2578
"ASV1177",0,0,0,11,0,0,0
"ASV118",0,0,0,0,0,0,1
"ASV1182",0,0,0,0,16,0,0
"ASV1183",0,0,0,0,0,0,13
"ASV1184",2,0,0,0,0,0,9
"ASV1185",0,0,0,0,0,0,14
"ASV1187",0,0,0,4,0,0,0
"ASV1189",165,40,753,77,201,172,8959
"ASV119",1,1,0,0,0,0,0
"ASV1191",0,0,0,0,0,37,56
"ASV1192",0,0,0,0,16,0,0
"ASV1193",0,0,0,0,17,0,0
"ASV1195",47,0,527,27,16,233,4101
"ASV1197",0,16,12,0,11,15,57
"ASV1198",0,19,0,0,0,0,0
"ASV1199",6,2,10,110,78,6,130
"ASV12",0,4,0,0,0,0,0
"ASV1201",0,0,0,5,0,0,0
"ASV1202",0,0,0,0,0,0,38
"ASV1203",3,0,7,18,0,0,0
"ASV1204",33,0,11,0,0,50,94
"ASV1205",2,0,6,0,0,38,0
"ASV1206",0,0,0,0,0,10,0
"ASV1207",9,0,9,0,0,10,53
"ASV1208",96,0,25,0,0,87,248
"ASV1209",8,0,7,0,0,77,0
"ASV121",0,0,0,0,0,0,13
"ASV1211",6,0,0,0,0,0,0
"ASV1212",22,3,7,0,6,0,0
"ASV1215",0,0,0,0,21,0,232
"ASV1217",0,0,4,0,0,1,46
"ASV1218",0,0,0,0,6,0,0
"ASV122",7,16,0,18,0,0,64
"ASV1220",0,0,0,0,0,0,60
"ASV1221",0,0,0,0,0,0,7
"ASV1223",0,0,0,0,0,0,160
"ASV1225",0,0,0,0,0,3,0
"ASV1226",0,0,7,0,0,0,0
"ASV1228",2,0,25,7,6,0,112
"ASV123",0,0,0,0,10,0,22
"ASV1231",0,0,0,12,10,0,29
"ASV1232",0,0,0,0,36,0,0
"ASV1233",80,14,255,11,37,67,3644
"ASV1240",6,0,70,0,0,114,104
"ASV1243",23,0,0,59,0,33,286
"ASV1245",0,0,0,0,0,0,19
"ASV1246",0,0,0,0,0,12,0
"ASV1247",0,0,0,48,0,0,0
"ASV1249",0,0,0,0,0,0,27
"ASV125",0,0,0,0,0,0,15
