"","Koa root","Olapa root","Grass root","Ohia root","Kolea root","Akala root","Soil"
"ASV10",0,0,1,0,0,0,0
"ASV100",0,0,0,1,1,0,1
"ASV1004",0,0,0,0,1,0,0
"ASV1005",0,0,0,1,0,0,0
"ASV1007",1,1,1,1,1,1,1
"ASV1013",0,0,0,0,1,0,0
"ASV1014",0,0,0,0,1,0,0
"ASV1015",1,0,1,0,1,1,1
"ASV102",0,0,0,0,0,0,1
"ASV1023",0,1,0,0,0,0,0
"ASV1027",0,1,0,0,0,0,0
"ASV1028",0,0,0,0,1,0,0
"ASV1029",0,0,0,1,0,0,0
"ASV103",0,0,0,0,0,0,1
"ASV1030",0,0,1,0,0,0,0
"ASV1031",0,0,0,1,0,0,1
"ASV1036",0,0,0,0,0,1,0
"ASV1038",1,1,1,1,1,1,1
"ASV1039",0,0,0,0,0,0,1
"ASV1040",0,0,0,0,0,1,1
"ASV1041",0,0,0,0,0,0,1
"ASV1044",0,0,0,0,0,0,1
"ASV1045",1,0,0,0,0,0,0
"ASV1047",1,0,0,0,0,0,1
"ASV1052",0,0,0,0,0,0,1
"ASV1053",0,0,0,0,0,0,1
"ASV1056",0,0,0,0,1,0,1
"ASV1057",0,0,0,0,0,0,1
"ASV106",0,0,0,0,0,0,1
"ASV1066",0,0,0,0,1,0,0
"ASV1074",0,0,0,0,0,1,0
"ASV1083",0,0,1,0,0,0,0
"ASV1087",0,0,0,0,1,0,0
"ASV1096",0,0,0,0,0,0,1
"ASV1097",0,0,0,0,0,0,1
"ASV1098",1,0,1,0,0,0,1
"ASV110",1,0,0,0,0,0,0
"ASV1101",0,0,0,0,0,0,1
"ASV1102",0,0,0,0,0,0,1
"ASV1103",0,0,1,1,0,0,1
"ASV1104",0,0,1,0,0,0,1
"ASV1106",0,0,0,1,0,0,0
"ASV1108",0,0,1,0,0,0,0
"ASV1109",0,0,1,0,0,0,0
"ASV1118",0,0,0,0,0,0,1
"ASV112",1,1,1,0,0,1,1
