"","ASV","Count","rel_abun","Family","Host"
"Koa root.1","ASV1007",522,0.772783798187955,"Claroideoglomeraceae","Koa root"
"Koa root.2","ASV1038",36,0.05329543435779,"Archaeosporaceae","Koa root"
"Koa root.3","ASV1135",1137,1.68324746846687,"Archaeosporaceae","Koa root"
"Koa root.4","ASV1155",174,0.257594599395985,"Archaeosporaceae","Koa root"
"Koa root.5","ASV1176",80,0.118434298572867,"Archaeosporaceae","Koa root"
"Koa root.6","ASV1189",165,0.244270740806538,"Archaeosporaceae","Koa root"
"Koa root.7","ASV1199",6,0.008882572392965,"Archaeosporaceae","Koa root"
"Koa root.8","ASV1233",80,0.118434298572867,"Archaeosporaceae","Koa root"
"Koa root.9","ASV1303",17,0.0251672884467342,"Archaeosporaceae","Koa root"
"Koa root.10","ASV1313",51,0.0755018653402025,"Archaeosporaceae","Koa root"
"Koa root.11","ASV1428",3522,5.21406999467046,"Glomeraceae","Koa root"
"Koa root.12","ASV1514",4227,6.25777225084384,"Glomeraceae","Koa root"
"Koa root.13","ASV1551",5990,8.86776810564339,"Glomeraceae","Koa root"
"Koa root.14","ASV1561",11939,17.6748386332682,"Glomeraceae","Koa root"
"Koa root.15","ASV1566",7427,10.9951441937585,"Glomeraceae","Koa root"
"Koa root.16","ASV1699",3612,5.34730858056493,"Glomeraceae","Koa root"
"Koa root.17","ASV1700",1017,1.50559602060757,"Glomeraceae","Koa root"
"Koa root.18","ASV1719",200,0.296085746432167,"Acaulosporaceae","Koa root"
"Koa root.19","ASV1815",51,0.0755018653402025,"Acaulosporaceae","Koa root"
"Koa root.20","ASV1871",740,1.09551726179902,"Gigasporaceae","Koa root"
"Koa root.21","ASV1946",1171,1.73358204536034,"Glomeraceae","Koa root"
"Koa root.22","ASV1948",3232,4.78474566234381,"Glomeraceae","Koa root"
"Koa root.23","ASV1953",1011,1.4967134482146,"Glomeraceae","Koa root"
"Koa root.24","ASV2054",2699,3.99567714810209,"Glomeraceae","Koa root"
"Koa root.25","ASV2063",693,1.02593711138746,"Glomeraceae","Koa root"
"Koa root.26","ASV2072",267,0.395274471486943,"Glomeraceae","Koa root"
"Koa root.27","ASV208",153,0.226505596020608,"Glomeromycotina","Koa root"
"Koa root.28","ASV368",680,1.00669153786937,"Glomeromycotina","Koa root"
"Koa root.29","ASV37",565,0.836442233670871,"Glomeromycotina","Koa root"
"Koa root.30","ASV372",155,0.229466453484929,"Glomeromycotina","Koa root"
"Koa root.31","ASV378",246,0.364185468111565,"Glomeromycotina","Koa root"
"Koa root.32","ASV383",165,0.244270740806538,"Glomeromycotina","Koa root"
"Koa root.33","ASV392",977,1.44637887132113,"Glomeromycotina","Koa root"
"Koa root.34","ASV398",56,0.0829040090010067,"Glomeromycotina","Koa root"
"Koa root.35","ASV440",11,0.0162847160537692,"Glomeromycotina","Koa root"
"Koa root.36","ASV736",77,0.113993012376384,"Ambisporaceae","Koa root"
"Koa root.37","ASV926",71,0.105110439983419,"Paraglomeraceae","Koa root"
"Koa root.38","ASV979",110,0.162847160537692,"Claroideoglomeraceae","Koa root"
"Olapa root.1","ASV1007",74,0.109551726179902,"Claroideoglomeraceae","Olapa root"
"Olapa root.2","ASV1038",39,0.0577367205542725,"Archaeosporaceae","Olapa root"
"Olapa root.3","ASV1135",732,1.08367383194173,"Archaeosporaceae","Olapa root"
"Olapa root.4","ASV1155",20,0.0296085746432167,"Archaeosporaceae","Olapa root"
"Olapa root.5","ASV1176",209,0.309409605021614,"Archaeosporaceae","Olapa root"
"Olapa root.6","ASV1189",40,0.0592171492864334,"Archaeosporaceae","Olapa root"
"Olapa root.7","ASV1199",2,0.00296085746432167,"Archaeosporaceae","Olapa root"
"Olapa root.8","ASV1233",14,0.0207260022502517,"Archaeosporaceae","Olapa root"
"Olapa root.9","ASV1303",40,0.0592171492864334,"Archaeosporaceae","Olapa root"
"Olapa root.10","ASV1313",146,0.216142594895482,"Archaeosporaceae","Olapa root"
"Olapa root.11","ASV1428",744,1.10143897672766,"Glomeraceae","Olapa root"
"Olapa root.12","ASV1514",1182,1.74986676141411,"Glomeraceae","Olapa root"
"Olapa root.13","ASV1551",10046,14.8723870432877,"Glomeraceae","Olapa root"
"Olapa root.14","ASV1561",20342,30.1148812696157,"Glomeraceae","Olapa root"
"Olapa root.15","ASV1566",12286,18.188547403328,"Glomeraceae","Olapa root"
"Olapa root.16","ASV1699",6681,9.89074435956653,"Glomeraceae","Olapa root"
"Olapa root.17","ASV1700",3,0.0044412861964825,"Glomeraceae","Olapa root"
"Olapa root.18","ASV1719",663,0.981524249422633,"Acaulosporaceae","Olapa root"
"Olapa root.19","ASV1815",42,0.062178006750755,"Acaulosporaceae","Olapa root"
"Olapa root.20","ASV1871",706,1.04518268490555,"Gigasporaceae","Olapa root"
"Olapa root.21","ASV1946",32,0.0473737194291467,"Glomeraceae","Olapa root"
"Olapa root.22","ASV1948",489,0.723929650026648,"Glomeraceae","Olapa root"
"Olapa root.23","ASV1953",343,0.507787055131166,"Glomeraceae","Olapa root"
"Olapa root.24","ASV2054",397,0.587730206667851,"Glomeraceae","Olapa root"
"Olapa root.25","ASV2063",609,0.901581097885948,"Glomeraceae","Olapa root"
"Olapa root.26","ASV2072",179,0.264996743056789,"Glomeraceae","Olapa root"
"Olapa root.27","ASV208",37,0.0547758630899508,"Glomeromycotina","Olapa root"
"Olapa root.28","ASV368",799,1.18286255699651,"Glomeromycotina","Olapa root"
"Olapa root.29","ASV37",396,0.58624977793569,"Glomeromycotina","Olapa root"
"Olapa root.30","ASV372",497,0.735773079883934,"Glomeromycotina","Olapa root"
"Olapa root.31","ASV378",490,0.725410078758809,"Glomeromycotina","Olapa root"
"Olapa root.32","ASV383",222,0.328655178539705,"Glomeromycotina","Olapa root"
"Olapa root.33","ASV392",1930,2.85722745307041,"Glomeromycotina","Olapa root"
"Olapa root.34","ASV398",96,0.14212115828744,"Glomeromycotina","Olapa root"
"Olapa root.35","ASV440",48,0.07106057914372,"Glomeromycotina","Olapa root"
"Olapa root.36","ASV736",65,0.0962278675904542,"Ambisporaceae","Olapa root"
"Olapa root.37","ASV926",73,0.108071297447741,"Paraglomeraceae","Olapa root"
"Olapa root.38","ASV979",26,0.0384911470361817,"Claroideoglomeraceae","Olapa root"
"Grass root.1","ASV1007",124,0.183573162787943,"Claroideoglomeraceae","Grass root"
"Grass root.2","ASV1038",23,0.0340498608396992,"Archaeosporaceae","Grass root"
"Grass root.3","ASV1135",1728,2.55818084917392,"Archaeosporaceae","Grass root"
"Grass root.4","ASV1155",279,0.413039616272873,"Archaeosporaceae","Grass root"
"Grass root.5","ASV1176",105,0.155445016876888,"Archaeosporaceae","Grass root"
