"","ASV","Count","rel_abun","Family","Host","Total"
"Koa root.1","ASV1045",3,0.0044412861964825,"Archaeosporaceae","Koa root",513
"Koa root.2","ASV110",2,0.00296085746432167,"Archaeosporaceae","Koa root",513
"Koa root.3","ASV113",2,0.00296085746432167,"Glomeraceae","Koa root",513
"Koa root.4","ASV1134",22,0.0325694321075383,"Archaeosporaceae","Koa root",513
"Koa root.5","ASV1163",10,0.0148042873216083,"Archaeosporaceae","Koa root",513
"Koa root.6","ASV1165",11,0.0162847160537692,"Archaeosporaceae","Koa root",513
"Koa root.7","ASV1211",6,0.008882572392965,"Archaeosporaceae","Koa root",513
"Koa root.8","ASV1263",14,0.0207260022502517,"Archaeosporaceae","Koa root",513
"Koa root.9","ASV1266",5,0.00740214366080417,"Archaeosporaceae","Koa root",513
"Koa root.10","ASV1302",5,0.00740214366080417,"Archaeosporaceae","Koa root",513
"Koa root.11","ASV1304",3,0.0044412861964825,"Ambisporaceae","Koa root",513
"Koa root.12","ASV1306",3,0.0044412861964825,"Archaeosporaceae","Koa root",513
"Koa root.13","ASV1386",1,0.00148042873216083,"Glomeraceae","Koa root",513
"Koa root.14","ASV1389",88,0.130277728430153,"Glomeraceae","Koa root",513
"Koa root.15","ASV1390",135,0.199857878841713,"Glomeraceae","Koa root",513
"Koa root.16","ASV1404",7,0.0103630011251258,"Glomeraceae","Koa root",513
"Koa root.17","ASV1426",17,0.0251672884467342,"Glomeraceae","Koa root",513
"Koa root.18","ASV1443",1,0.00148042873216083,"Glomeraceae","Koa root",513
"Koa root.19","ASV1487",1,0.00148042873216083,"Glomeraceae","Koa root",513
"Koa root.20","ASV1497",31,0.0458932906969858,"Glomeraceae","Koa root",513
"Koa root.21","ASV152",3,0.0044412861964825,"Glomeraceae","Koa root",513
"Koa root.22","ASV1584",1,0.00148042873216083,"Glomeraceae","Koa root",513
"Koa root.23","ASV1616",1,0.00148042873216083,"Glomeraceae","Koa root",513
"Koa root.24","ASV1617",1,0.00148042873216083,"Glomeraceae","Koa root",513
"Koa root.25","ASV1644",1,0.00148042873216083,"Glomeraceae","Koa root",513
"Koa root.26","ASV1678",2,0.00296085746432167,"Glomeraceae","Koa root",513
"Koa root.27","ASV1679",1,0.00148042873216083,"Glomeraceae","Koa root",513
"Koa root.28","ASV1690",6,0.008882572392965,"Glomeraceae","Koa root",513
"Koa root.29","ASV1694",18,0.026647717178895,"Glomeraceae","Koa root",513
"Koa root.30","ASV1704",7,0.0103630011251258,"Acaulosporaceae","Koa root",513
"Koa root.31","ASV1768",3,0.0044412861964825,"Acaulosporaceae","Koa root",513
"Koa root.32","ASV181",1,0.00148042873216083,"Paraglomeraceae","Koa root",513
"Koa root.33","ASV1812",2,0.00296085746432167,"Acaulosporaceae","Koa root",513
"Koa root.34","ASV1833",5,0.00740214366080417,"Acaulosporaceae","Koa root",513
"Koa root.35","ASV184",1,0.00148042873216083,"Paraglomeraceae","Koa root",513
"Koa root.36","ASV1846",1,0.00148042873216083,"Gigasporaceae","Koa root",513
"Koa root.37","ASV187",1,0.00148042873216083,"Paraglomeraceae","Koa root",513
"Koa root.38","ASV19",6,0.008882572392965,"Glomeromycotina","Koa root",513
"Koa root.39","ASV1900",3,0.0044412861964825,"Diversisporaceae","Koa root",513
"Koa root.40","ASV1907",2,0.00296085746432167,"Diversisporaceae","Koa root",513
"Koa root.41","ASV1919",2,0.00296085746432167,"Diversisporaceae","Koa root",513
"Koa root.42","ASV1962",6,0.008882572392965,"Glomeraceae","Koa root",513
"Koa root.43","ASV1968",2,0.00296085746432167,"Glomeraceae","Koa root",513
"Koa root.44","ASV1985",1,0.00148042873216083,"Glomeraceae","Koa root",513
"Koa root.45","ASV1992",1,0.00148042873216083,"Glomeraceae","Koa root",513
"Koa root.46","ASV202",3,0.0044412861964825,"Glomeromycotina","Koa root",513
"Koa root.47","ASV2038",1,0.00148042873216083,"Glomeraceae","Koa root",513
"Koa root.48","ASV214",3,0.0044412861964825,"Glomeromycotina","Koa root",513
"Koa root.49","ASV220",4,0.00592171492864334,"Glomeraceae","Koa root",513
"Koa root.50","ASV272",3,0.0044412861964825,"Glomeromycotina","Koa root",513
"Koa root.51","ASV289",2,0.00296085746432167,"Glomeromycotina","Koa root",513
"Koa root.52","ASV304",2,0.00296085746432167,"Glomeromycotina","Koa root",513
"Koa root.53","ASV418",1,0.00148042873216083,"Glomeromycotina","Koa root",513
"Koa root.54","ASV423",3,0.0044412861964825,"Ambisporaceae","Koa root",513
"Koa root.55","ASV474",3,0.0044412861964825,"Glomeromycotina","Koa root",513
"Koa root.56","ASV595",2,0.00296085746432167,"Glomeromycotina","Koa root",513
"Koa root.57","ASV656",4,0.00592171492864334,"Archaeosporaceae","Koa root",513
"Koa root.58","ASV684",5,0.00740214366080417,"Ambisporaceae","Koa root",513
"Koa root.59","ASV706",11,0.0162847160537692,"Glomeraceae","Koa root",513
"Koa root.60","ASV829",3,0.0044412861964825,"Paraglomeraceae","Koa root",513
"Koa root.61","ASV906",2,0.00296085746432167,"Paraglomeraceae","Koa root",513
"Koa root.62","ASV920",7,0.0103630011251258,"Paraglomeraceae","Koa root",513
"Koa root.63","ASV933",1,0.00148042873216083,"Archaeosporaceae","Koa root",513
"Koa root.64","ASV937",1,0.00148042873216083,"Paraglomeraceae","Koa root",513
"Koa root.65","ASV943",3,0.0044412861964825,"Claroideoglomeraceae","Koa root",513
"Koa root.66","ASV960",4,0.00592171492864334,"Claroideoglomeraceae","Koa root",513
"Olapa root.1","ASV1023",2,0.00296085746432167,"Archaeosporaceae","Olapa root",736
"Olapa root.2","ASV1027",6,0.008882572392965,"Archaeosporaceae","Olapa root",736
