"","AK Akala root","RO Akala root","AK Grass root","RO Grass root","AK Koa root","RO Koa root","AK Kolea root","RO Kolea root","AK Ohia root","RO Ohia root","AK Olapa root","RO Olapa root","AK Soil","RO Soil"
"Acaulosporaceae",0.61,0.09,0.52,0.75,0.17,0.38,0.61,1.22,0.09,0.38,0.17,0.38,2.97,1.98
"Ambisporaceae",0.35,0.09,0.7,0.85,0.35,0.28,1.66,0.75,0.17,0.09,0.35,0.09,1.14,1.88
"Archaeosporaceae",1.31,1.32,1.22,1.51,1.05,1.03,2.54,2.54,0.87,1.03,2.27,0.66,6.12,5.27
"Claroideoglomeraceae",0.52,0.09,0.26,0.19,0.09,0.19,0.96,0.75,0.09,0,0.35,0,1.14,0.75
"Diversisporaceae",0.09,0,0.09,0,0,0.28,0,0.19,0,0,0,0,0.44,0.38
"Geosiphonaceae",0,0,0,0.09,0,0,0,0,0,0,0.09,0,0,0
"Gigasporaceae",0.35,0,0.09,0.09,0,0.09,0.26,0.47,0.35,0.19,0.09,0.09,0.87,1.13
"Glomeraceae",2.27,2.26,2.8,3.1,2.45,2.45,7.52,6.11,1.66,1.98,3.24,1.6,7.26,7.71
"Glomeromycotina",0.7,0.66,1.14,0.38,0.17,0.85,1.57,1.98,0.52,0.19,0.96,0.66,2.36,3.1
"Paraglomeraceae",0.79,0.75,0.7,1.6,0.09,0.66,1.14,1.98,0.44,0.75,0.7,0.66,2.19,2.26
